CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
CW708,Law - LLB                                         ,298,,298,328.0,302,,302,349,292,
CW728,Product Design Innovation                         ,276,,286,355.0,252,,252,359,246,
CW748,Early Childhood Education and Care                ,265,,265,338.0,270,,270,327,290,
CW758,Applied Social Studies - Professional Social Care ,290,,290,319.0,336,,336,358,360,358
CW808,Media and Public Relations                        ,262,248,248,307.0,251,,251,298,247,
CW848,Digital Marketing with Analytics                  ,279,,279,307.0,254,,269,326,269,
CW858,Sports Management and Coaching (options portfolio),#700,,#700,700.0,#700,,700,700,#700,
CW908,Business (options)                                ,260,,260,307.0,280,,280,357,272,
CW938,Business with Law                                 ,270,,270,288.0,283,,283,301,270,
CW948,Accounting                                        ,301,,301,408.0,300,,300,364,319,
DB500,Computing                                         ,242,,242,320.0,218,218,218,301,234,234
DB501,Computing (Cloud Computing)                       ,326,,326,329.0,227,227,227,280,,178
DB502,Computing (Data Analytics and Big Data)           ,,,269,269.0,341,341,334,377,267,233
DB503,Computing (Software Development)                  ,242,,242,282.0,225,225,225,281,,
DB504,Computing (Web and Mobile Technology)             ,265,227,227,269.0,,281,281,281,,
DB510,Audio Production and Music Project Management     ,242,242,233,293.0,234,223,223,290,217,217
DB512,Business Studies                                  ,248,229,229,301.0,218,203,203,308,243,210
DB514,Business Studies (Law)                            ,269,269,269,337.0,252,,251,270,239,225
DB515,Business Studies (Human Resource Management)      ,225,,225,288.0,244,244,244,326,242,217
DB516,Financial Services                                ,336,,328,336.0,,,,,,
DB517,Event Management                                  ,226,226,226,327.0,238,,238,309,233,225
DB518,Marketing (Digital Media)                         ,270,210,210,289.0,,209,,,307,209
DB521,Accounting and Finance                            ,238,,225,271.0,225,195,195,318,243,228
DB524,Business Information Systems                      ,,,402,402.0,342,309,309,409,247,239
DB525,Marketing (Digital Media and Cloud Computing)     ,284,,284,309.0,,,,,288,288
DB526,Business Information Systems (Cloud Computing)    ,253,,253,288.0,347,,347,423,244,244
DB527,Applied Social Care                               ,235,,235,288.0,234,234,234,306,254,219
DB531,Marketing                                         ,234,220,220,288.0,293,,293,336,288,176
DB562,Psychology                                        ,244,179,208,310.0,243,229,229,322,244,233
DB566,Social Science                                    ,216,211,216,308.0,220,220,220,290,262,228
DB567,Film                                              ,228,192,192,295.0,218,202,202,290,245,213
DB568,Law                                               ,245,245,245,308.0,219,219,217,309,254,228
DB569,Business (Psychology)                             ,279,279,279,338.0,252,,252,284,240,240
DC001,Education - Early Childhood Education             ,398,,398,424.0,440,,440,462,445,
DC002,Education - Primary Teaching                      ,462*,,462*,485.0,488,,488,520,518*,
DC003,Education - Primary Teaching - Gaeltacht Applicant,#429,,#433,473.0,#445,,445,462,#489,
DC004,Education - Primary Teaching (Church of Ireland Ce,#357,,#357,,#411,#409,409,463,#451,
